Question,Link,Answer,polarity,subjectivity,polarity_category,subjectivity_category
How is the KJ Somaiya College of Engineering?,https://www.quora.com/How-is-the-KJ-Somaiya-College-of-Engineering,"I live in Mumbai and after preparing for IIT-JEE since my 8th grade when I didn’t make it to IIT Bombay cut off for Computer Science Engineering (which has to be within AIR 56 nowadays to get into CSE at IIT Bombay or within top 500 ranks in the country to get any decent engineering at IIT Bombay), I was very disappointed.

I didn’t want to move out of Mumbai since having lived here all my life so applied to KJ Somaiya College of Engineering (KJSCE) at Vidyavihar and got an admit via CET cap admission rounds.

I would say KJSCE is among the best colleges in Mumbai. Back during my time it was under

Continue Reading",0.1380050505050505,0.49027777777777776,positive,objective
"How is K.J. Somaiya College of Engineering, Sion?",https://www.quora.com/How-is-K-J-Somaiya-College-of-Engineering-Sion,"I live in Mumbai and after preparing for IIT-JEE since my 8th grade when I didn’t make it to IIT Bombay cut off for Computer Science Engineering (which has to be within AIR 56 nowadays to get into CSE at IIT Bombay or within top 500 ranks in the country to get any decent engineering at IIT Bombay), I was very disappointed.

I didn’t want to move out of Mumbai since having lived here all my life so applied to KJ Somaiya College of Engineering (KJSCE) at Vidyavihar and got an admit via CET cap admission rounds.

I would say KJSCE is among the best colleges in Mumbai. Back during my time it was under Mumbai University. Infrastructure-wise KJSCE is very good and has a large area of land. I think its second largest after the IIT Bombay campus because I don’t any other private college in Mumbai has that big of an area.

Most of my batch mates were like me who had been preparing for IIT JEE and hadn’t made it through. So I will say its safe to say for most of us, KJSCE was not a dream college but a secondary option incase we didn’t get into a tier one college like IIT, NIT or BITS.

Teaching faculty at KJSCE is mediocre and probably even the best engineering colleges in the world have mediocre teaching faculty because a college’s reputation and ranking is mainly on the quality of students they admit.

KJSCE has a minority quota for Gujarati’s, so you all will find many 50% admits are Gujjus and rest are merit admits. One or two are NRI/Gulf seats too.

Overall, I had a good time at KJSCE and made good friends. Most of my batch mates went to the US for Masters in CS or MIS and now working there only.",0.21515318015318013,0.4859065934065934,positive,objective
Which one is better: the K.J. Somaiya College of Engineering or the Vivekanand Education Society's Institute of Technology?,https://www.quora.com/Which-one-is-better-the-K-J-Somaiya-College-of-Engineering-or-the-Vivekanand-Education-Societys-Institute-of-Technology,"For your question the first thing you need to consider is the proximity of the college from our home (in case you don't plan to avail hostel facility) as on overall ranking basis many sources rank the two colleges quite close to each other and hence you'd really want to reduce your traveling time and focus more on your studies/other misc. activities.
Secondly, if traveling isn't an issue to you, you may consider the following points:


Infrastructure:Both colleges have an excellent infrastructures which you can see on their respective websites/visit them personally.
Placements:The average placements of both colleges lie around 3-3.5 lacs although there have been cases of some students getting about 24 lakh packages in kjsce recently (last year). Also some students secure out-of -campus placements which may go sky high like around 50lakhs. So its basically the students bio that matters in this scenario.

University:Here's the major difference where Kjsce definitely holds the upper hand. Vesit comes under Mumbai University whereas Kjsce has been an autonomous institute since the past two years (this year being the second batch of complete autonomy). How this helps is that the subjects are better designed for personal growth than in case of MU. Moreover, this allows the college to control the exam conduction which has definitely been better than MU. Also you get a longer vacation for extra curricular activities like projects/internships which come in handy highlighting your resume.
Sports:No comparison!Kjsce has an extremely well reputed football turf and a very good badminton court as well. Also the running track is in accordance with the university standards.

Campus: Kjsce has probably one of the biggest campuses as compared to nearby colleges in mumbai except for IIT-B which has way bigger one .

So basically its upto you which college you want to choose as both are pretty good colleges. Hope I was helpful. Cheers!",0.16933823529411765,0.4395588235294118,positive,objective
Which books are recommended for FY students in K.J. Somaiya College of Engineering?,https://www.quora.com/Which-books-are-recommended-for-FY-students-in-K-J-Somaiya-College-of-Engineering,"Greetings :)

Firstly I was thinking how do I frame the answer for your particular question since in first year I have hardly ever Seen someone using a reference book for studying the subjects in FE rather all the scolding and professors guiding to use reference books other than local author books (techmax, technical publications) no one does use that!

For a fact even I never did, so my suggestion is to enjoy your first year at college :) don't worry!

In the end just go to your local bookseller and buy the technical or techmax for the subjects :P",0.1982142857142857,0.42499999999999993,positive,objective
What is the placement scenario at KJ Somaiya?,https://www.quora.com/What-is-the-placement-scenario-at-KJ-Somaiya,"If you're eager to carve out a successful path post-graduation, you've likely caught wind of the buzz surrounding KJ Somaiya's placement prowess. Let's dive into what this esteemed institution brings to the table in terms of career opportunities.

Recent Placement Highlights:

High Placement Rates: Picture this—a history of sky-high placement rates, with grads snagging dream jobs left, right, and center through campus placements. Sources like Collegedunia even tout a perfect 100% placement record for 2023—now, that's impressive!
Average Salary: Money matters, right? Well, Collegedunia suggests an average salary package hovering around ₹12.32 LPA for 2023 placements. Not too shabby, huh?
Reputed Recruiters: From IT giants to consulting moguls and everything in between, KJ Somaiya attracts the crème de la crème of recruiters. It's like a buffet of career opportunities waiting to be devoured.
Highest Package: But wait, there's more! While averages give you a ballpark figure, some students hit the jackpot with jaw-dropping offers. Keep an eye out for those highest package mentions—it's a glimpse into the realm of possibility for top performers.

Additional Factors to Consider:

Program and Specialization: The placement game isn't one-size-fits-all. Dive into program-specific details and specializations to understand how your chosen path fares in the job market.
Skill Development Focus: It's not just about the degree—it's about the skills you bring to the table. Look for initiatives and resources geared towards honing your talents and making you irresistible to recruiters.

Resources for Further Exploration:

KJ Somaiya Placement Website/Brochure: Dive into the treasure trove of placement reports, statistics, and alumni success stories. It's like a roadmap to your future career!
Contact Placement Cell: Got burning questions? Reach out to the placement cell directly—they're your gateway to the latest placement data and insider insights.
Connect with Alumni: Who better to spill the tea on placement experiences than those who've been there, done that? Connect with alumni on LinkedIn for a firsthand peek into life post-KJ Somaiya.

So, there you have it—your guide to navigating the placement scene at KJ Somaiya. With a little digging and some insider knowledge, you'll be on your way to securing that dream job in no time!",0.2260024350649351,0.483474025974026,positive,objective
Is K.J. Somaiya College of Engineering getting worse in terms of placements?,https://www.quora.com/Is-K-J-Somaiya-College-of-Engineering-getting-worse-in-terms-of-placements,"AN ENGINEERING COLLEGE GETS WORSE ONLY BECAUSE OF THEIR STUDENTS AND NOT BECAUSE OF THE COLLEGE AUTHORITIES IS WHAT I BELIEVE .

MY COLLEGE HAD 0 PLACEMENT BUT STILL I SEE ALL MY BATCH MATES IN A GOOD COMPANIES BETTER THAN THAT OF GOVERNMENT COLLEGES AND UNIVERISITIES.",0.19999999999999998,0.675,positive,subjective
"When does K.J. Somaiya College of Engineering start its first semester, and how hard are the papers?",https://www.quora.com/When-does-K-J-Somaiya-College-of-Engineering-start-its-first-semester-and-how-hard-are-the-papers,"Sorry for Answering late.

The first year syllabus for the core subject like, Mechanics, chemistry is pretty much the same as that of , in NEET/CET syllabus. So, you can start referring few of the topics from Physics CET books. (Say, Friction, Force and work etc.)

Kumbhojkar for Maths. Nice book, to the point. Enough questions. Revise basic algebra formule if u feel like.Most of the preparation can be done in Tutorials session.

Now, you can start studying for C/C++ classes if you are not familiar with this subjects any earlier. (I wasn't) .

There would be AUTO-CAD practicals, focus and try to learn as much as you can. The software is pretty important for professional life.

In second semester, you would have Engineering Drawing. If you get enough practice in college time itself ,great. If you can't, join classes. It would help you in Machine drawings, and later in Theory of Machines.

You can always study in the reading room. You can have maximum books availed from library.

And most importantly, ENJOY your first year. Join some cultural activity club. RHAPSODY (drama team) is the best one. Go to Illuminati sessions. It will help you in public speakings. Go to open bus ride, Symphony publicity. Build a BOT in abhiyantriki. Join MESA.

You would love everything at KJSCE.

All the best. :)",0.19180107526881718,0.45376344086021503,positive,objective
What is the review of K.J. Somaiya College of Engineering (KJSCE) now in 2021 after it became a private university?,https://www.quora.com/What-is-the-review-of-K-J-Somaiya-College-of-Engineering-KJSCE-now-in-2021-after-it-became-a-private-university,"Hi Ameya,

Being from the first autonomous batch in KJSCE from 2014-2018 I would say that the autonomous status for the college is great. The curriculum is better than Mumbai University. (MU)

This means that you can explore and learn new courses and work on the latest technologies rather than following the useless Techmax books which are old and of no use. The fees are comparatively more but as compared to the maintenance of the huge campus they seem quite satisfactory. Besides KJSCE has a strong network of alumni globally and many good universities abroad are already aware of the college which will help during your applications if you’re planning to opt for further studies after your engineering.

Talking about placements, more companies will come to recruit considering the past history and new courses that the students will be studying. So to conclude, the review of KJSCE is great and better than most of the normal MU engineering colleges out there currently in Mumbai. This will even set you apart as there are only a few universities in Mumbai which have the autonomous tag currently. Hope this helps, good luck with the admissions.",0.2776148582600196,0.50405669599218,positive,subjective
How good is the placement cell at K.J. Somaiya College of Engineering (Sion) for a B.E. (IT)?,https://www.quora.com/unanswered/How-good-is-the-placement-cell-at-K-J-Somaiya-College-of-Engineering-Sion-for-a-B-E-IT,"In my opinion the training and placement cell of our college is very supportive and deals with students individually and work hard for getting students placed. Placements were almost 100% in our batch and senior batch. Average package offered in these placements is 4-5 LPA. Highest package in my batch was 12.5 LPA. There are many MNC's and startups which has visited our college for placements including OYO, Capgemini, thoughts2binary, Direct(i) is just the tip of iceberg. There is wide variety of roles offered by these companies like SE, product support, sales, marketing, consultant etc.",0.1013888888888889,0.5402777777777777,positive,subjective
How is K.J. Somaiya College of Engineering Vidyavihar for the mechanical engineering branch?,https://www.quora.com/How-is-K-J-Somaiya-College-of-Engineering-Vidyavihar-for-the-mechanical-engineering-branch,"Good college and good placement

top colleges for mechanical branch

Best college",0.725,0.5,positive,objective
